divide;65;FALSE;no_reaction;?;empty;empty;,
divide;77;FALSE;no_reaction;?;empty;empty;,
divide;111;FALSE;no_reaction;?;empty;empty;,
equal;3;FALSE;repeat;?;empty;empty;,
equal;9;FALSE;repeat;?;empty;empty;,
equal;27;FALSE;repeat;?;empty;empty;,
equal;2697;FALSE;no_reaction;?;empty;empty;,
equal;3219;FALSE;no_reaction;?;empty;empty;,
equal;3567;FALSE;no_reaction;?;empty;empty;,
equal;3741;FALSE;no_reaction;?;empty;empty;,
equal;4089;FALSE;no_reaction;?;empty;empty;,
divide;87;TRUE;no_reaction;no;empty;empty;,
equal;8323;FALSE;no_reaction;?;empty;empty;,
equal;9541;FALSE;no_reaction;?;empty;empty;,
equal;6293;TRUE;no_reaction;east;danger;danger;,
divide;203;TRUE;no_reaction;no;empty;empty;,
equal;3655;FALSE;no_reaction;?;empty;empty;,
equal;8041;FALSE;no_reaction;you;gniack;west;,
equal;9503;FALSE;no_reaction;?;empty;empty;,
equal;13889;TRUE;native_offended;me;see;you;,
equal;16813;FALSE;no_reaction;?;empty;empty;,
equal;21199;FALSE;no_reaction;?;empty;empty;,
equal;27047;FALSE;no_reaction;?;empty;empty;,
divide;731;TRUE;no_reaction;you;danger;empty;,
equal;3335;TRUE;no_reaction;no;no;empty;,
equal;7337;TRUE;no_reaction;no;no;empty;,
equal;8671;TRUE;no_reaction;no;no;empty;,
equal;11339;FALSE;no_reaction;?;empty;empty;,
equal;20677;FALSE;no_reaction;?;empty;empty;,
equal;24679;FALSE;no_reaction;?;empty;empty;,
equal;37347;FALSE;no_reaction;?;empty;empty;,
equal;31349;FALSE;no_reaction;?;empty;empty;,
divide;667;TRUE;no_reaction;no;empty;empty;,
equal;399;TRUE;no_reaction;no;east;danger;,
equal;651;FALSE;no_reaction;east;gniack;you;,
equal;861;FALSE;no_reaction;?;empty;empty;,
equal;987;FALSE;no_reaction;?;empty;empty;,
divide;21;TRUE;no_reaction;east;danger;danger;,
equal;1183;FALSE;no_reaction;?;empty;empty;,
equal;1729;TRUE;no_reaction;no;east;danger;,
equal;3367;FALSE;no_reaction;?;empty;empty;,
